,Open,High,Close
2958,144.98,146.31,144.79
2957,144.14,147.55,145.0
2956,145.6,149.15,148.77
2955,149.6,152.39,152.2
2954,153.29,154.78,151.15
2953,151.4,152.34,146.51
2952,147.32,149.61,147.22
2951,147.67,148.27,145.77
2950,146.2,148.14,148.0
2949,148.8,148.95,145.91
2948,144.84,148.05,147.92
2947,148.27,148.9,148.26
2946,148.35,148.45,146.82
2945,146.84,147.35,146.04
2944,146.4,149.77,149.58
2943,152.82,153.53,150.6
2942,150.77,151.85,150.75
2941,150.15,151.1,149.92
2940,151.2,155.33,155.1
2939,152.94,156.46,156.16
2938,157.18,159.06,157.13
2937,153.34,154.78,151.35
2936,151.35,151.8,148.07
2935,147.65,149.15,148.19
2934,149.02,149.26,148.61
2933,148.85,148.85,146.9
2932,146.22,146.57,144.02
2931,144.2,146.4,145.95
2930,145.95,149.91,149.74
2929,149.15,150.01,148.8
2928,147.92,149.65,149.01
2927,148.9,149.4,146.32
2926,146.95,147.97,145.77
2925,146.13,146.49,145.93
2924,145.8,146.31,142.98
2923,143.09,143.43,142.17
2922,141.82,145.24,145.0
2921,145.04,146.53,142.14
2920,142.58,144.04,142.97
2919,142.9,143.43,142.69
2918,138.09,140.39,140.13
2917,140.64,140.87,140.14
2916,140.76,140.88,137.14
2915,138.22,140.01,139.93
2914,138.92,142.52,141.43
2913,141.42,142.14,141.44
2912,141.88,142.65,141.93
2911,141.26,144.7,144.37
2910,143.84,144.9,143.78
2909,144.26,144.39,143.14
2908,143.1,143.89,143.27
2907,143.4,145.14,144.37
2906,144.64,144.84,143.7
2905,143.09,147.9,147.58
2904,147.56,149.79,147.84
2903,148.79,149.7,149.69
2902,151.03,155.87,155.02
2901,154.65,157.92,156.0
2900,154.52,156.8,151.65
2899,149.91,153.53,151.46
2898,152.16,152.4,150.25
2897,150.65,153.15,152.05
2896,153.23,155.81,154.11
2895,154.36,157.04,156.11
2894,155.91,159.77,155.84
2893,156.66,158.76,157.84
2892,159.91,160.64,157.3
2891,157.63,159.36,157.13
2890,157.27,157.71,153.15
2889,153.49,155.52,154.96
2888,157.27,158.91,158.39
2887,156.97,160.22,159.5
2886,160.13,160.8,155.66
2885,156.5,157.61,155.51
2884,157.23,157.4,156.53
2883,157.55,158.49,156.65
2882,156.81,157.57,155.48
2881,155.46,156.48,153.2
2880,152.75,153.75,150.64
2879,151.15,151.15,148.87
2878,150.1,150.27,148.22
2877,148.9,152.75,152.65
2876,152.63,154.13,151.79
2875,152.15,155.09,154.5
2874,155.15,155.72,151.75
2873,173.07,173.39,170.12
2872,171.86,174.82,174.5
2871,173.06,173.87,173.63
2870,173.31,178.18,177.9
2869,178.48,178.72,176.71
2868,177.81,179.65,179.26
2867,180.3,187.56,186.26
2866,186.12,192.14,189.88
2865,191.04,192.69,190.03
2864,191.4,193.48,193.17
2863,195.18,196.09,195.41
2862,197.75,198.93,197.71
2861,197.32,197.99,195.14
2860,193.53,194.34,189.76
2859,189.37,195.87,195.75
2858,197.76,198.65,195.4
2857,196.26,199.31,198.68
2856,197.39,198.7,196.6
2855,198.3,199.62,199.27
2854,201.1,202.11,201.93
2853,201.95,202.45,200.31
2852,199.78,205.19,204.88
2851,204.53,208.86,208.44
2850,208.73,212.57,211.64
2849,213.1,214.59,214.52
2848,215.12,215.84,211.95
2847,212.44,213.41,201.97
2846,202.33,204.43,202.66
2845,204.8,207.93,207.25
2844,208.68,209.97,209.06
2843,208.71,208.96,203.13
2842,204.55,208.41,202.47
2841,203.28,203.55,202.31
2840,202.85,205.53,205.53
2839,207.71,208.1,204.8
2838,207.52,207.81,206.51
2837,206.46,209.21,208.95
2836,208.73,210.07,209.69
2835,209.76,211.78,211.48
2834,212.88,216.47,215.29
2833,216.32,223.33,212.51
2832,214.14,216.32,215.08
2831,216.99,218.65,213.38
2830,216.1,216.65,216.24
2829,216.29,216.47,215.68
2828,216.15,216.15,212.53
2827,212.38,214.1,213.56
2826,214.2,214.58,210.29
2825,208.84,209.31,207.64
2824,211.47,218.05,217.83
2823,222.17,224.7,222.84
2822,223.22,226.0,225.85
2821,228.66,235.49,233.06
2820,233.44,236.94,233.68
2819,232.44,235.36,235.11
2818,235.87,237.79,236.05
2817,237.1,237.73,232.05
2816,232.39,233.68,233.36
2815,231.76,235.18,233.79
2814,223.87,228.91,222.68
2813,225.81,226.97,218.44
2812,219.57,220.24,199.93
2811,203.89,214.41,213.96
2810,218.23,222.7,221.74
2809,225.86,227.34,216.72
2808,219.99,220.22,217.35
2807,217.72,219.33,216.96
2806,214.83,216.86,213.62
2805,215.5,220.02,216.55
2804,194.71,201.2,201.09
2803,202.11,203.45,198.22
2802,197.01,197.15,190.97
2801,192.85,195.14,192.74
2800,191.69,192.04,184.14
2799,184.42,185.53,184.72
2798,185.79,187.39,179.56
2797,181.16,182.43,181.49
2796,173.49,175.48,173.02
2795,172.84,176.02,171.83
2794,170.81,173.17,171.36
2793,173.01,183.68,183.41
2792,185.11,186.26,184.56
2791,183.4,186.96,183.48
2790,183.76,184.66,182.93
2789,182.99,190.81,189.22
2788,188.84,190.23,188.89
2787,190.83,196.05,195.38
2786,196.8,198.97,181.49
2785,184.46,184.91,182.58
2784,182.32,190.74,188.41
2783,192.34,193.81,189.28
2782,190.65,191.89,184.23
2781,182.69,184.41,182.41
2780,177.14,180.2,177.12
2779,177.87,179.44,171.67
2778,171.92,172.42,168.92
2777,170.64,173.22,168.7
2776,168.74,176.36,175.76
2775,175.56,176.33,172.42
2774,174.48,174.55,169.55
2773,169.57,171.06,170.06
2772,171.34,175.22,174.27
2771,175.18,176.01,170.13
2770,170.04,172.22,170.28
2769,171.35,173.05,171.12
2768,184.49,185.23,183.08
2767,183.73,186.04,185.03
2766,186.04,189.12,188.79
2765,190.16,199.7,197.69
2764,194.79,196.95,194.41
2763,194.56,196.13,195.19
2762,194.96,196.43,195.04
2761,195.14,202.65,202.37
2760,204.31,207.49,204.2
2759,203.45,207.15,205.8
2758,206.41,206.63,203.28
2757,203.74,208.79,208.4
2756,208.42,209.76,205.03
2755,204.7,205.87,204.68
2754,204.52,205.08,201.28
2753,201.93,206.46,203.61
2752,204.17,205.12,202.32
2751,206.49,207.03,205.46
2750,205.71,208.21,207.71
2749,224.67,225.59,218.77
2748,219.92,222.57,220.47
2747,220.03,220.74,213.79
2746,214.08,215.24,213.2
2745,211.67,213.67,210.23
2744,209.52,213.08,209.18
2743,209.44,209.93,199.65
2742,200.74,201.45,197.6
2741,198.37,200.95,197.28
2740,197.71,199.63,197.57
2739,199.0,200.54,197.35
2738,197.75,198.76,197.59
2737,198.04,204.7,204.6
2736,204.36,206.06,201.69
2735,201.91,202.56,193.69
2734,191.96,192.63,187.25
2733,188.15,190.27,188.29
2732,188.18,188.62,185.84
2731,185.49,190.11,187.44
2730,189.58,191.1,185.68
2729,186.83,187.44,185.2
2728,184.11,186.7,185.66
2727,187.29,192.13,187.98
2726,188.86,191.91,190.82
2725,189.73,191.69,191.69
2724,192.47,193.13,190.87
2723,189.33,190.69,186.16
2722,187.09,189.31,186.1
2721,186.96,191.69,191.5
2720,192.92,193.73,189.91
2719,188.28,190.92,187.41
2718,188.48,195.2,195.19
2717,196.82,197.63,193.45
2716,194.07,197.33,196.85
2715,196.29,197.91,193.48
2714,194.36,195.44,190.96
2713,190.64,193.69,193.46
2712,195.11,195.75,192.39
2711,193.5,196.32,195.7
2710,194.74,195.66,195.55
2709,195.62,197.6,194.26
2708,194.21,196.13,193.78
2707,195.73,202.2,201.27
2706,200.99,203.2,200.17
2705,201.58,205.08,202.63
2704,203.58,204.35,202.31
2703,203.06,204.2,201.36
2702,202.21,203.44,203.26
2701,204.2,209.31,209.11
2700,208.01,209.87,209.87
2699,210.23,212.1,211.81
2698,210.97,211.61,210.94
2697,211.9,212.9,211.81
2696,213.24,214.16,210.44
2695,211.93,212.83,209.31
2694,209.46,212.74,212.49
